event_id,lat,lon,dt,frp,event_n
2021-06-03_28,63.76189,17.04918,2021-06-03 10:00:00+00:00,5.74,3
2021-06-03_29,36.83312,34.99902,2021-06-03 11:32:00+00:00,15.47,2
2021-06-03_3,37.09947,43.86031,2021-06-03 09:02:00+00:00,29.08,10
2021-06-03_30,36.85406,35.20767,2021-06-03 11:32:00+00:00,6.68,2
2021-06-03_31,36.95135,35.8857,2021-06-03 11:32:00+00:00,12.03,2
2021-06-03_32,37.10941,38.27153,2021-06-03 11:32:00+00:00,9.28,3
2021-06-03_33,51.6573,14.62572,2021-06-03 11:37:00+00:00,5.22,2
2021-06-03_34,53.02838,13.5465,2021-06-03 11:37:00+00:00,5.45,3
2021-06-03_35,39.39396,8.99056,2021-06-03 13:14:00+00:00,11.61,2
2021-06-03_4,37.1842,43.59308,2021-06-03 09:02:00+00:00,5.21,4
2021-06-03_5,39.77463,47.21972,2021-06-03 09:02:00+00:00,5.43,4
2021-06-03_6,54.66919,33.00563,2021-06-03 09:07:00+00:00,5.1,2
2021-06-03_7,63.25903,30.29284,2021-06-03 08:19:00+00:00,9.6,7
2021-06-03_8,36.8919,43.31895,2021-06-03 10:42:00+00:00,6.02,2
2021-06-03_9,36.43797,36.95026,2021-06-03 10:42:00+00:00,15.11,2
2021-06-04_0,59.67672,43.48854,2021-06-04 00:37:00+00:00,6.39,2
2021-06-04_1,45.03917,47.20642,2021-06-04 08:45:00+00:00,5.07,3
2021-06-04_10,39.83005,47.20398,2021-06-04 10:24:00+00:00,5.24,3
2021-06-04_11,43.9175,26.58077,2021-06-04 10:26:00+00:00,7.12,4
2021-06-04_12,52.75203,41.18452,2021-06-04 09:37:00+00:00,5.9,2
2021-06-04_13,51.79762,26.15558,2021-06-04 10:28:00+00:00,7.08,2
2021-06-04_14,57.36402,47.41637,2021-06-04 09:38:00+00:00,22.54,3
2021-06-04_15,60.79245,42.07093,2021-06-04 10:30:00+00:00,5.4,2
2021-06-04_16,66.63026,28.40408,2021-06-04 09:41:00+00:00,5.65,11
2021-06-04_17,41.54767,15.52129,2021-06-04 12:06:00+00:00,138.34,6
2021-06-04_18,55.63596,-1.92071,2021-06-04 12:11:00+00:00,7.49,2
2021-06-04_19,66.86438,30.23137,2021-06-04 11:22:00+00:00,24.04,2
2021-06-04_2,53.75005,39.95549,2021-06-04 08:48:00+00:00,5.03,2
2021-06-04_20,40.28117,-4.40956,2021-06-04 13:47:00+00:00,9.78,2
2021-06-04_21,41.04004,-6.84753,2021-06-04 12:57:00+00:00,6.86,4
2021-06-04_22,35.78083,45.70654,2021-06-04 09:32:00+00:00,17.19,2
2021-06-04_23,37.11359,43.98454,2021-06-04 09:33:00+00:00,12.0,3
2021-06-04_24,37.09332,43.87205,2021-06-04 09:33:00+00:00,9.7,4
2021-06-04_25,37.23966,42.85044,2021-06-04 09:33:00+00:00,8.8,2
2021-06-04_26,37.03679,37.99895,2021-06-04 09:33:00+00:00,13.18,2
2021-06-04_27,36.85965,35.49477,2021-06-04 09:33:00+00:00,5.31,3
2021-06-04_28,37.10136,35.80919,2021-06-04 09:33:00+00:00,7.27,3
2021-06-04_29,35.78588,36.69362,2021-06-04 11:13:00+00:00,6.91,3
2021-06-04_3,55.74384,33.8939,2021-06-04 08:49:00+00:00,11.52,3
2021-06-04_30,36.86048,39.52566,2021-06-04 11:13:00+00:00,14.22,4
2021-06-04_31,36.90526,35.0163,2021-06-04 11:13:00+00:00,23.43,2
2021-06-04_32,37.0945,27.64363,2021-06-04 11:14:00+00:00,5.64,2
2021-06-04_33,41.30954,13.43757,2021-06-04 11:15:00+00:00,5.75,2
2021-06-04_34,62.77727,15.69767,2021-06-04 11:21:00+00:00,10.13,4
2021-06-04_35,36.16207,8.58457,2021-06-04 12:55:00+00:00,7.19,3
2021-06-04_36,41.37349,15.46291,2021-06-04 12:56:00+00:00,7.06,3
2021-06-04_37,41.79154,15.36,2021-06-04 12:56:00+00:00,6.6,2
2021-06-04_4,35.72021,46.16161,2021-06-04 09:32:00+00:00,20.42,3
2021-06-04_5,37.05046,44.67326,2021-06-04 09:32:00+00:00,11.8,2
2021-06-04_6,37.10939,43.8429,2021-06-04 09:33:00+00:00,7.69,2
2021-06-04_7,37.18496,43.57595,2021-06-04 09:33:00+00:00,8.0,2
2021-06-04_8,37.27939,43.23834,2021-06-04 09:33:00+00:00,5.18,2
2021-06-04_9,36.6656,36.93077,2021-06-04 09:33:00+00:00,125.6,6
2021-06-05_0,58.58347,42.1589,2021-06-05 07:40:00+00:00,14.16,13
2021-06-05_1,35.79768,45.69566,2021-06-05 09:13:00+00:00,5.15,11
